Tag,Meaning,Packages
`code`,Everything else (off by default),all
`comment`,Any comment,all
`comment.block`,A `/* ... */` block comment,"c-cpp-strings-comments, csharp-strings-comments, example<br>go-strings-comments, java-strings-comments, javascript<br>php-strings-comments, typescript<br>typescript-strings-comments, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`comment.block`,An `=begin` ... `=end` block comment,ruby-strings-comments
`comment.block`,A `/* ... */` block comment (including a nested one),rust-strings-comments
`comment.block.doc`,A `/** ... */` doc comment (Doxygen-style),c-cpp-strings-comments
`comment.block.doc`,"A `/** ... */` doc-style block comment (not a conventional C# form, but handled)",csharp-strings-comments
`comment.block.doc`,A `/** ... */` doc comment,"example, javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`comment.block.doc`,"A `/** ... */` doc comment (rare in idiomatic Go, which favors plain `//` comments for godoc)",go-strings-comments
`comment.block.doc`,A `/** ... */` Javadoc comment,java-strings-comments
`comment.block.doc`,A `/** ... */` PHPDoc-style comment,php-strings-comments
`comment.block.doc`,A `/** ... */` outer doc block or `/*! ... */` inner doc block,rust-strings-comments
`comment.block.doc`,A `/** ... */` doc comment (JSDoc-style),typescript-strings-comments
`comment.line`,A `//` line comment,"c-cpp-strings-comments, csharp-strings-comments, example<br>go-strings-comments, java-strings-comments, javascript<br>rust-strings-comments, typescript<br>typescript-strings-comments, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`comment.line`,"A `//` or `#` line comment (`#[` starts a PHP 8 attribute, not a comment)",php-strings-comments
`comment.line`,A `#` line comment,"python-strings-comments, ruby-strings-comments"
`comment.line.doc`,A Doxygen-style `///` or `//!` doc-comment line,c-cpp-strings-comments
`comment.line.doc`,A `///` XML doc comment line (not a `////`-or-more separator line),csharp-strings-comments
`comment.line.doc`,A `///` outer doc comment or `//!` inner doc comment line,rust-strings-comments
`html`,HTML (or other non-PHP) content outside `<?php`/`<?=`/`<?` ... `?>` (off by default),php-strings-comments
`identifier`,Any identifier,"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.exportBinding`,A renamed export alias (`export { x as y }`),"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.importBinding`,"A renamed import alias, default import name, or namespace import name","javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.label`,A statement label,"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.privateProperty`,A `#private` class property name,"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.property`,An object or class property name,"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.shorthandProperty`,A shorthand object property name (the `foo` in `{ foo }`),"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
`identifier.type`,A type name,"javascript, typescript, typescript-tree-sitter<br>typescript-tree-sitter-wasm"
